pool,margin,quality_floor,uahe_cap,min_cond_filled,prompts_total,prompts_kept,pairs,pass_rate,reject_no_valid_reject,reject_min_cond,reject_uahe_cap,reject_below_quality_floor
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.7,3139,1631,1631,0.5196,246,953.0,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.0,3139,2131,2131,0.6789,435,,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.3,3139,2128,2128,0.6779,435,3.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.5,3139,1682,1682,0.5358,389,495.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.6,3139,1670,1670,0.532,388,508.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.7,3139,1670,1670,0.532,388,508.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.0,3139,1190,1190,0.3791,195,,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.3,3139,1187,1187,0.3781,195,3.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.5,3139,764,764,0.2434,149,472.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.6,3139,760,760,0.2421,149,476.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.7,3139,760,760,0.2421,149,476.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.0,3139,1519,1519,0.4839,199,,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.3,3139,1516,1516,0.483,199,3.0,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.5,3139,1086,1086,0.346,153,479.0,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.6,3139,1077,1077,0.3431,152,489.0,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.7,3139,1077,1077,0.3431,152,489.0,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,10.0,0.0,3139,2036,2036,0.6486,214,,316.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,10.0,0.3,3139,2033,2033,0.6477,214,3.0,316.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,10.0,0.5,3139,1587,1587,0.5056,168,495.0,316.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,10.0,0.6,3139,1575,1575,0.5018,167,508.0,316.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,10.0,0.7,3139,1575,1575,0.5018,167,508.0,316.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,15.0,0.0,3139,2092,2092,0.6665,293,,181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,15.0,0.3,3139,2089,2089,0.6655,293,3.0,181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,15.0,0.5,3139,1643,1643,0.5234,247,495.0,181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,15.0,0.6,3139,1631,1631,0.5196,246,508.0,181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,15.0,0.7,3139,1631,1631,0.5196,246,508.0,181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,-1.0,0.0,3139,1731,1731,0.5514,394,,,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,-1.0,0.3,3139,1728,1728,0.5505,394,3.0,,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,-1.0,0.5,3139,1679,1679,0.5349,389,57.0,,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,-1.0,0.6,3139,1669,1669,0.5317,388,68.0,,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,-1.0,0.7,3139,1669,1669,0.5317,388,68.0,,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,3.0,0.0,3139,796,796,0.2536,154,,1175.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,3.0,0.3,3139,793,793,0.2526,154,3.0,1175.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,3.0,0.5,3139,764,764,0.2434,149,37.0,1175.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,3.0,0.6,3139,760,760,0.2421,149,41.0,1175.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,3.0,0.7,3139,760,760,0.2421,149,41.0,1175.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,5.0,0.0,3139,1124,1124,0.3581,158,,843.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,5.0,0.3,3139,1121,1121,0.3571,158,3.0,843.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,5.0,0.5,3139,1085,1085,0.3457,153,44.0,843.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,5.0,0.6,3139,1077,1077,0.3431,152,53.0,843.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,5.0,0.7,3139,1077,1077,0.3431,152,53.0,843.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,10.0,0.0,3139,1637,1637,0.5215,173,,315.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,10.0,0.3,3139,1634,1634,0.5205,173,3.0,315.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,10.0,0.5,3139,1585,1585,0.5049,168,57.0,315.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,10.0,0.6,3139,1575,1575,0.5018,167,68.0,315.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,10.0,0.7,3139,1575,1575,0.5018,167,68.0,315.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,15.0,0.0,3139,1692,1692,0.539,252,,181.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,15.0,0.3,3139,1689,1689,0.5381,252,3.0,181.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,15.0,0.5,3139,1640,1640,0.5225,247,57.0,181.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,15.0,0.6,3139,1630,1630,0.5193,246,68.0,181.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.1,15.0,0.7,3139,1630,1630,0.5193,246,68.0,181.0,1014.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,-1.0,0.0,3139,1647,1647,0.5247,273,,,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,-1.0,0.3,3139,1645,1645,0.5241,273,2.0,,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,-1.0,0.5,3139,1605,1605,0.5113,268,47.0,,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,-1.0,0.6,3139,1596,1596,0.5084,268,56.0,,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,-1.0,0.7,3139,1596,1596,0.5084,268,56.0,,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,3.0,0.0,3139,795,795,0.2533,154,,971.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,3.0,0.3,3139,793,793,0.2526,154,2.0,971.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,3.0,0.5,3139,764,764,0.2434,149,36.0,971.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,3.0,0.6,3139,760,760,0.2421,149,40.0,971.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,3.0,0.7,3139,760,760,0.2421,149,40.0,971.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,5.0,0.0,3139,1121,1121,0.3571,157,,642.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,5.0,0.3,3139,1119,1119,0.3565,157,2.0,642.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,5.0,0.5,3139,1084,1084,0.3453,152,42.0,642.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,5.0,0.6,3139,1077,1077,0.3431,152,49.0,642.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,5.0,0.7,3139,1077,1077,0.3431,152,49.0,642.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,10.0,0.0,3139,1616,1616,0.5148,166,,138.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,10.0,0.3,3139,1614,1614,0.5142,166,2.0,138.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,10.0,0.5,3139,1574,1574,0.5014,161,47.0,138.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,10.0,0.6,3139,1565,1565,0.4986,161,56.0,138.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,10.0,0.7,3139,1565,1565,0.4986,161,56.0,138.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,15.0,0.0,3139,1637,1637,0.5215,202,,81.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,15.0,0.3,3139,1635,1635,0.5209,202,2.0,81.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,15.0,0.5,3139,1595,1595,0.5081,197,47.0,81.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,15.0,0.6,3139,1586,1586,0.5053,197,56.0,81.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.15,15.0,0.7,3139,1586,1586,0.5053,197,56.0,81.0,1219.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,-1.0,0.0,3139,1579,1579,0.503,263,,,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,-1.0,0.3,3139,1578,1578,0.5027,263,1.0,,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,-1.0,0.5,3139,1545,1545,0.4922,258,39.0,,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,-1.0,0.6,3139,1538,1538,0.49,258,46.0,,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,-1.0,0.7,3139,1538,1538,0.49,258,46.0,,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,3.0,0.0,3139,794,794,0.2529,154,,894.0,1297.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.2,3.0,0.3,3139,793,793,0.2526,154,1.0,894.0,1297.0
