axis,model,context,metric,tau_b,tau_p,holm_q,boot_ci_lo,boot_ci_hi,n,n_levels
adapter_progression,llama-3.2-3b,k0,SecFilled,0.101506,0.000114,0.007492,0.059379,0.144664,1173,3
adapter_progression,llama-3.2-3b,k0,CondFilledRate,0.093360,0.000215,0.013561,0.048887,0.137105,1173,3
adapter_progression,llama-3.2-3b,k0,UAHE_per_1kTok,0.027771,0.256630,1.000000,-0.021031,0.077470,1173,3
adapter_progression,llama-3.2-3b,k0,UAHE_Total,0.011028,0.660605,1.000000,-0.040417,0.061933,1173,3
adapter_progression,llama-3.2-3b,k0,ContextSupportRate,-0.024733,0.323293,1.000000,-0.084025,0.033583,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_R,0.118470,0.000000,0.000010,0.071638,0.163342,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_F1,0.327919,0.000000,0.000000,0.289766,0.365267,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SBERT,0.284918,0.000000,0.000000,0.245903,0.323825,1173,3
adapter_progression,llama-3.2-3b,dense_k1,CTQRS,0.131453,0.000000,0.000002,0.084113,0.178251,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_R_NORM,0.110818,0.000001,0.000061,0.064904,0.157336,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_F1_NORM,0.324173,0.000000,0.000000,0.287326,0.360390,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SBERT_NORM,0.276807,0.000000,0.000000,0.235764,0.316128,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SecFilled,0.418739,0.000000,0.000000,0.378135,0.458703,1173,3
adapter_progression,llama-3.2-3b,dense_k1,CondFilledRate,0.357150,0.000000,0.000000,0.316618,0.397151,1173,3
adapter_progression,llama-3.2-3b,dense_k1,UAHE_per_1kTok,0.054820,0.030192,1.000000,0.007881,0.101418,1173,3
adapter_progression,llama-3.2-3b,dense_k1,UAHE_Total,0.032837,0.207483,1.000000,-0.013538,0.078638,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ContextSupportRate,0.111994,0.000007,0.000479,0.055670,0.167695,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_R,-0.075655,0.000774,0.047206,-0.114637,-0.036895,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_F1,0.055212,0.014124,0.663840,0.017020,0.094066,1173,3
adapter_progression,mistral-7b-v0.3,k0,SBERT,-0.031818,0.157270,1.000000,-0.073489,0.010081,1173,3
adapter_progression,mistral-7b-v0.3,k0,CTQRS,-0.080414,0.000837,0.050221,-0.123778,-0.035896,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_R_NORM,-0.072666,0.001242,0.072016,-0.111193,-0.033448,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_F1_NORM,0.057210,0.010996,0.549787,0.020115,0.094527,1173,3
adapter_progression,mistral-7b-v0.3,k0,SBERT_NORM,-0.030745,0.171734,1.000000,-0.072654,0.011561,1173,3
adapter_progression,mistral-7b-v0.3,k0,SecFilled,-0.011941,0.654768,1.000000,-0.051079,0.026324,1173,3
adapter_progression,mistral-7b-v0.3,k0,CondFilledRate,-0.018656,0.465382,1.000000,-0.061176,0.023746,1173,3
adapter_progression,mistral-7b-v0.3,k0,UAHE_per_1kTok,-0.026211,0.284565,1.000000,-0.075102,0.022481,1173,3
adapter_progression,mistral-7b-v0.3,k0,UAHE_Total,-0.034720,0.167814,1.000000,-0.085331,0.016183,1173,3
adapter_progression,mistral-7b-v0.3,k0,ContextSupportRate,-0.040075,0.107321,1.000000,-0.098087,0.017758,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,ROUGE1_R,-0.086339,0.000125,0.008099,-0.128729,-0.043380,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,ROUGE1_F1,0.011686,0.603473,1.000000,-0.030423,0.053423,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,SBERT,-0.048381,0.031511,1.000000,-0.090104,-0.006440,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,CTQRS,-0.206285,0.000000,0.000000,-0.249307,-0.162910,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,ROUGE1_R_NORM,-0.087828,0.000095,0.006456,-0.129862,-0.045789,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,ROUGE1_F1_NORM,0.005407,0.810059,1.000000,-0.037460,0.046551,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,SBERT_NORM,-0.050978,0.023452,1.000000,-0.092917,-0.008910,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,SecFilled,0.240608,0.000000,0.000000,0.195526,0.285170,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,CondFilledRate,0.183843,0.000000,0.000000,0.138099,0.228534,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,UAHE_per_1kTok,-0.381062,0.000000,0.000000,-0.420058,-0.341537,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,UAHE_Total,-0.405824,0.000000,0.000000,-0.445292,-0.366493,1173,3
adapter_progression,mistral-7b-v0.3,dense_k1,ContextSupportRate,0.133381,0.000000,0.000002,0.081425,0.184307,1173,3
adapter_progression,qwen2.5-7b,k0,ROUGE1_R,-0.268819,0.000000,0.000000,-0.307814,-0.229562,1173,3
adapter_progression,qwen2.5-7b,k0,ROUGE1_F1,0.444494,0.000000,0.000000,0.409572,0.478191,1173,3
adapter_progression,qwen2.5-7b,k0,SBERT,0.023062,0.305302,1.000000,-0.020433,0.066810,1173,3
adapter_progression,qwen2.5-7b,k0,CTQRS,-0.037942,0.114810,1.000000,-0.081948,0.006056,1173,3
adapter_progression,qwen2.5-7b,k0,ROUGE1_R_NORM,-0.270004,0.000000,0.000000,-0.309662,-0.229281,1173,3
adapter_progression,qwen2.5-7b,k0,ROUGE1_F1_NORM,0.435061,0.000000,0.000000,0.398933,0.469359,1173,3
adapter_progression,qwen2.5-7b,k0,SBERT_NORM,0.037877,0.092252,1.000000,-0.007551,0.082215,1173,3
adapter_progression,qwen2.5-7b,k0,SecFilled,0.076484,0.004080,0.216250,0.035855,0.117569,1173,3
adapter_progression,qwen2.5-7b,k0,CondFilledRate,0.020332,0.420161,1.000000,-0.022442,0.062070,1173,3
adapter_progression,qwen2.5-7b,k0,UAHE_per_1kTok,0.075476,0.001539,0.087712,0.027952,0.123734,1173,3
adapter_progression,qwen2.5-7b,k0,UAHE_Total,-0.006317,0.797867,1.000000,-0.056468,0.042125,1173,3
adapter_progression,qwen2.5-7b,k0,ContextSupportRate,-0.068017,0.005523,0.281653,-0.125561,-0.012689,1173,3
adapter_progression,qwen2.5-7b,dense_k1,ROUGE1_R,-0.248333,0.000000,0.000000,-0.287606,-0.207728,1173,3
adapter_progression,qwen2.5-7b,dense_k1,ROUGE1_F1,0.431346,0.000000,0.000000,0.395606,0.465552,1173,3
adapter_progression,qwen2.5-7b,dense_k1,SBERT,0.074013,0.001002,0.059125,0.030197,0.117026,1173,3
adapter_progression,qwen2.5-7b,dense_k1,CTQRS,-0.117022,0.000001,0.000080,-0.160475,-0.073205,1173,3
adapter_progression,qwen2.5-7b,dense_k1,ROUGE1_R_NORM,-0.253664,0.000000,0.000000,-0.294927,-0.213455,1173,3
adapter_progression,qwen2.5-7b,dense_k1,ROUGE1_F1_NORM,0.423415,0.000000,0.000000,0.387276,0.458443,1173,3
adapter_progression,qwen2.5-7b,dense_k1,SBERT_NORM,0.068766,0.002238,0.123082,0.024848,0.112336,1173,3
adapter_progression,qwen2.5-7b,dense_k1,SecFilled,0.064962,0.014528,0.668301,0.022199,0.106682,1173,3
adapter_progression,qwen2.5-7b,dense_k1,CondFilledRate,0.026576,0.292237,1.000000,-0.016110,0.070252,1173,3
adapter_progression,qwen2.5-7b,dense_k1,UAHE_per_1kTok,0.015840,0.510163,1.000000,-0.030398,0.062329,1173,3
adapter_progression,qwen2.5-7b,dense_k1,UAHE_Total,-0.136504,0.000000,0.000004,-0.184671,-0.088001,1173,3
adapter_progression,qwen2.5-7b,dense_k1,ContextSupportRate,0.018080,0.452838,1.000000,-0.036687,0.071341,1173,3
